,record_num,id,latitude,longitude,occupancy_status,current_status,bikes_allowed,headsign,bearing,current_stop_sequence,updated_at
1000,1001,y3286,42.37147326,-71.11729859,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Nubian,0.0,2,2024-07-25 12:18:32-04:00
1001,1002,y3272,42.33522889,-71.07541246,FULL,IN_TRANSIT_TO,1,Nubian,0.0,18,2024-07-25 12:18:00-04:00
1002,1003,y3264,42.34385861,-71.08601655,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Nubian,0.0,14,2024-07-25 12:18:26-04:00
1003,1004,y3263,42.33965938,-71.08080736,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,321.0,9,2024-07-25 12:18:34-04:00
1004,1005,y3237,42.33595011,-71.0764704,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,0.0,8,2024-07-25 12:18:28-04:00
1005,1006,y3204,42.34049835,-71.08164862,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,0.0,10,2024-07-25 12:18:22-04:00
1006,1007,y3202,42.37254863,-71.11908642,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Nubian,193.0,2,2024-07-25 12:18:34-04:00
1007,1008,y1834,42.37033512,-71.11316002,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,0.0,22,2024-07-25 12:17:21-04:00
1008,1009,y3286,42.37143052,-71.11724533,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Nubian,135.0,2,2024-07-25 12:18:46-04:00
1009,1010,y3272,42.3352368,-71.07536246,FULL,IN_TRANSIT_TO,1,Nubian,0.0,18,2024-07-25 12:18:43-04:00
1010,1011,y3264,42.34385751,-71.08604826,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Nubian,0.0,14,2024-07-25 12:18:43-04:00
1011,1012,y3263,42.34004809,-71.0811803,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,316.0,10,2024-07-25 12:18:43-04:00
1012,1013,y3237,42.33642935,-71.07702833,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,326.0,8,2024-07-25 12:18:46-04:00
1013,1014,y3204,42.34049835,-71.08164862,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,0.0,10,2024-07-25 12:18:22-04:00
1014,1015,y3202,42.37246574,-71.11912615,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Nubian,229.0,2,2024-07-25 12:18:46-04:00
1015,1016,y1834,42.37033512,-71.11316002,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,0.0,22,2024-07-25 12:17:21-04:00
1016,1017,y3286,42.37120732,-71.11656338,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Nubian,116.0,2,2024-07-25 12:18:55-04:00
1017,1018,y3272,42.33512863,-71.07525456,FULL,IN_TRANSIT_TO,1,Nubian,147.0,18,2024-07-25 12:18:54-04:00
1018,1019,y3264,42.34352362,-71.08589926,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Nubian,157.0,14,2024-07-25 12:18:52-04:00
1019,1020,y3263,42.34004809,-71.0811803,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,316.0,10,2024-07-25 12:18:43-04:00
1020,1021,y3237,42.33698825,-71.07744764,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,313.0,8,2024-07-25 12:18:55-04:00
1021,1022,y3204,42.34049835,-71.08164862,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,0.0,10,2024-07-25 12:18:22-04:00
1022,1023,y3202,42.37246574,-71.11912615,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Nubian,229.0,2,2024-07-25 12:18:46-04:00
1023,1024,y1834,42.37033512,-71.11316002,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,0.0,22,2024-07-25 12:17:21-04:00
1024,1025,y3286,42.37098141,-71.11591066,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Nubian,129.0,2,2024-07-25 12:19:05-04:00
1025,1026,y3272,42.33485924,-71.07494495,FULL,STOPPED_AT,1,Nubian,140.0,18,2024-07-25 12:19:05-04:00
1026,1027,y3264,42.34285236,-71.08513189,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Nubian,135.0,14,2024-07-25 12:19:06-04:00
1027,1028,y3263,42.34020472,-71.08118896,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,315.0,10,2024-07-25 12:19:06-04:00
1028,1029,y3237,42.33712731,-71.07767675,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,231.0,9,2024-07-25 12:19:05-04:00
1029,1030,y3204,42.34047,-71.08154,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,315.0,10,2024-07-25 12:19:02-04:00
1030,1031,y3202,42.37243748,-71.11923139,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Nubian,215.0,2,2024-07-25 12:19:05-04:00
1031,1032,y1834,42.37005,-71.11348,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,270.0,22,2024-07-25 12:19:02-04:00
1032,1033,y3286,42.37095501,-71.11583872,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Nubian,118.0,2,2024-07-25 12:19:09-04:00
1033,1034,y3272,42.33484336,-71.07486028,FULL,STOPPED_AT,1,Nubian,119.0,18,2024-07-25 12:19:09-04:00
1034,1035,y3264,42.34262045,-71.0848181,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Nubian,132.0,14,2024-07-25 12:19:12-04:00
1035,1036,y3263,42.34018807,-71.08120533,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,0.0,10,2024-07-25 12:19:09-04:00
1036,1037,y3237,42.33720494,-71.07780016,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,246.0,9,2024-07-25 12:19:14-04:00
1037,1038,y3204,42.34047,-71.08154,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,315.0,10,2024-07-25 12:19:02-04:00
1038,1039,y3202,42.37240704,-71.1192573,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Nubian,0.0,2,2024-07-25 12:19:15-04:00
1039,1040,y1834,42.37005,-71.11348,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,270.0,22,2024-07-25 12:19:02-04:00
1040,1041,y3286,42.37093656,-71.1158292,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Nubian,0.0,2,2024-07-25 12:19:24-04:00
1041,1042,y3272,42.33484336,-71.07486028,FULL,STOPPED_AT,1,Nubian,119.0,18,2024-07-25 12:19:09-04:00
1042,1043,y3264,42.34247782,-71.08467684,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Nubian,0.0,14,2024-07-25 12:19:24-04:00
1043,1044,y3263,42.34018807,-71.08120533,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,0.0,10,2024-07-25 12:19:09-04:00
